"name","country","mail"
"GOÉLETTE INTERNATIONAL","Belgium","bookfair@goelette.ca"
"HEMMA EDITIONS","Belgium","jenny.brouwers@hemma.be"
"I.M.P.S. SA","Belgium","imps@smurf.com"
"INTERNATIONAL YEHUDI MENUHIN FOUNDATION","Belgium","sophie.lupcin@menuhin-foundation.com"
"KATE' ART SPRL","Belgium","info@kateart.com"
"KER EDITIONS","Belgium","kerditions@kerditions.eu"
"LANNOO N.V. - UITGEVERIJ","Belgium","lannoo@lannoo.be"
"LINNE BIE &amp; CO","Belgium","info@linnebie.com"
"EDITIONS MIJADE","Belgium","michel@mijade.be"
"OLALA BOOKS BVBA","Belgium","emmanuel.devocht@olalabooks.be"
"PASTEL - L'ECOLE DES LOISIRS","Belgium","pastel@ecoledesloisirs.be"
"V.U.V. FLEMISH PUBLISHERS ASSOCIATION","Belgium","vuv@boek.be;sarah.degraef@boek.be"
"VERSANT SUD JEUNESSE","Belgium","elisabeth.jongen@versant-sud.com"
"WALLONIE BRUXELLES INTERNATIONAL","Belgium","e.lambert@wbi.be;j.claisse@wbi.be"
"ZNU N.V.","Belgium","export@znu.be"
"BOM JESUS PUBLISHER","Brazil","editorabomjesus@bomjesus.br"
"CALLIS EDITORA","Brazil","editorial@callis.com.br"
"CÂMARA BRASILEIRA DO LIVRO","Brazil","luizalvaro@cbl.org.br"
"CIRANDA CULTURAL","Brazil","ingrid.calderao@cirandacultural.com.br"
"CORTEZ EDITORA","Brazil","erivan@cortezeditora.com.br"
"EDIÇÕES DE JANEIRO","Brazil","contato@edicoesdejaneiro.com.br"
"EDIÇÕES SM","Brazil","adilsonmiguel@grupo-sm.com"
"EDITORA BERLENDIS &amp; VERTECCHIA","Brazil","editora@berlendis.com"
"EDITORA DO BRASIL","Brazil","gilsandro@editoradobrasil.com.br"
"EDITORA IMEPH","Brazil","evaldosoares@imeph.com.br"
"FTD EDUCAÇÃO","Brazil","foreignright@ftd.com.br"
"FUNDAÇÃO NACIONAL DO LIVRO INFANTIL E JUVENIL","Brazil","fnlij@fnlij.org.br;"
"GIRASSOL BRASIL","Brazil","paula@girassolbrasil.com.br"
"GLOBAL EDITORA","Brazil","global@globaleditora.com.br"
"GRUPO COMPANHIA DAS LETRAS","Brazil","fernanda.dias@companhiadasletras.com.br"
"EDITORA MELHORAMENTOS LTDA.","Brazil","blerner@melhoramentos.com.br"
"MODERNA/SALAMANDRA","Brazil","flsantos@moderna.com.br"
"PALLAS EDITORA","Brazil","marianawarth@pallaseditora.com.br"
"TODOLIVRO DIST. LTDA.","Brazil","stephan@todolivro.com.br"
"WHITE BALLOON BOOKS","Brazil","petula@whiteballoon.com.br"
"BULGARIA","Bulgaria","office@abk.bg"
"COLIBRI PUBLISHERS","Bulgaria","kdimitrova@colibri.bg"
"EGMONT PUBLISHING BULGARIA","Bulgaria","corporateweb@egmont.com"
"JANET 45 PUBLISHING","Bulgaria","books@janet45.com"
"KIBEA PUBLISHING","Bulgaria","office@kibea.net"
"RIVA PUBLISHERS","Bulgaria","ayontchev@rivapublishers.com"
"DINIMBER ET LARIMBER","Cameroon","nadjiberdaniel@yahoo.fr"
"EDITIONS LES 400 COUPS","Canada","s.dejocas@editions400coups.com"
"ANNICK PRESS LTD.","Canada","gaynat@annickpress.com"
"BAYARD CANADA","Canada","nicholas.aumais@bayardcanada.com"
"BEAVER BOOKS PUBLISHING","Canada","info@beaverbooks.ca"
"BOOMERANG ÉDITEUR JEUNESSE","Canada","info@boomerangjeunesse.com"
"LIVRES CANADA BOOKS","Canada","info@livrescanadabooks.com"
"CARAMEL TREE","Canada","angieroh@carameltree.com"
"CHOUETTE PUBLISHING","Canada","foreignrights@editions-chouette.com"
"GROUPE D'ÉDITION LA COURTE ÉCHELLE","Canada","merieve@courteechelle.com"
"CRABTREE PUBLISHING COMPANY LIMITED","Canada","petrice_c@crabtreebooks.com"
"DOMINIQUE ET COMPAGNIE","Canada","barbara.creary@dominiqueetcompagnie.com"
"DUNDURN","Canada","info@dundurn.com"
"ECW PRESS","Canada","info@ecwpress.com"
"ÉDITIONS MICHEL QUINTIN","Canada","foreignrights@editionsmichelquintin.ca"
"FABLUS","Canada","info@fablus.ca"
"FITZHENRY &amp; WHITESIDE LTD.","Canada","jacqueline@fitzhenry.ca"
"FLOWERPOT PRESS","Canada","info@flowerpotpress.com"
"GROUNDWOOD BOOKS","Canada","rights@groundwoodbooks.com"
"GROUPE HOMME","Canada","cbedard@groupehomme.com"
"GROUPE MODUS","Canada","bcreary@groupemodus.com"
"ÉDITIONS DE L'ISATIS","Canada","editions_delisatis@hotmail.com"
"KIDS CAN PRESS LTD.","Canada","rights@kidscan.com"
"ÉDITIONS DE LA BAGNOLE","Canada","vml@groupevml.com"
"LORIMER","Canada","rights@lorimer.ca"
"ÉDITIONS DE MORTAGNE","Canada","info@editionsdemortagne.com"
"ORCA BOOK PUBLISHERS","Canada","andrew@orcabook.com"
"OWLKIDS BOOKS","Canada","owlkids@owlkids.com"
"PAJAMA PRESS","Canada","rights@pajamapress.ca"
"ÉDITIONS DE LA PASTÈQUE","Canada","fred@lapasteque.com"
"PEMBROKE PUBLISHERS","Canada","mary@pembrokepublishers.com"
"PHIDAL PUBLISHING INC.","Canada","sfeldman@phidal.com;info@phidal.com;"
"QA INTERNATIONAL","Canada","info@qa-international.com"
"QUÉBEC ÉDITION","Canada","info@anel.qc.ca"
"RIGHT RIGHTS BOOK AGENCY","Canada","brigittebeaudry@bellnet.ca;lydiamasson@bellnet.ca"
"SCHOLASTIC CANADA LTD.","Canada","mmaclagan@scholastic.ca"
"SECOND STORY PRESS","Canada","admin@secondstorypress.ca"
"SHOEBOX MEDIA","Canada","info@shoeboxmedia.net"
"THE NOVELTY BOOK COMPANY","Canada","info@thenoveltybook.com"
"ALBATROS MEDIA A.S","Czech Republic",""
"BAOBAB","Czech Republic","baobab-books@gmail.com"
"EGMONT PUBLISHING CZECH REPUBLIC","Czech Republic","corporateweb@egmont.com"
"JIRI MODELS  A.S.","Czech Republic","export@jirimodels.com"
"THE MINISTRY OF CULTURE OF THE CZECH REPUBLIC","Czech Republic","radim.kopac@mkcr.cz"
"EDITORIAL AMANUTA","Chile","contacto@amanuta.cl"
"21ST CENTURY PUBLISHING GROUP CO.  LTD.","China","rights@21cccc.com"
"ANHUI CHILDREN'S PUBLISHING HOUSE","China","ahserui@foxmail.com"
"BEIJING ALLIED FORTUNE PRINTING LTD.","China","daniel@af-print.com"
"BEIJING DANDELION CHILDREN'S BOOK HOUSE CO.  LTD.","China","sweet351@163.com"
"BEIJING LESHANG HUAXING INTERNATIONAL CULTURE DEVELOPMENT ...","China","xiemu89@gmail.com"
"BEIJING POPLAR CULTURE PROJECT CO.  LTD","China","ikuko@poplar.com.cn"
"BEIJING PUBLISHING GROUP LTD.","China","1023149320@qq.com"
"CHANGJIANG CHILDREN' PRESS (GROUP)  LTD.","China","yepeng0317@163.com"
"CHILDREN'S FUN PULISHING CO.  LTD.","China","corporateweb@egmont.com"
"CHINA CHILDREN'S PRESS &amp; PUBLICATION GROUP","China","menglingyuan@ccppg.com.cn"
"CHINA INTERCONTINENTAL PRESS","China","pengting@cicc.org.cn"
"CONFUCIUS INSTITUTE HEADQUARTERS","China","sunaipeng@hanban.org"
"DAYLIGHT PUBLISHING HOUSE","China","yddaylight@lab.com"
"DOLPHIN BOOKS","China","dolphin_books@163.com"
"EAST CHINA NORMAL UNIVERSITY PRESS CO.  LTD.","China","xiahaihan@ecnupress.com.cn;yuanke@ecnupress.com.cn;chongdaoyang@ecnupress.com.cn"
"EASTCOLOR PAPER PRODUCTS CO.  LTD.","China","sales@eppcl.com"
"ENCYCLOPEDIA OF CHINA PUBLISHING HOUSE COMPANY LIMITED","China","987379203@qq.com"
"GUANGZHOU CHILDHOOD FINE ARTS &amp; DESIGN CO.  LTD.","China","mia@yidubao.com"
"GUANGZHOU XIN YI PRINTING CO.  LTD.","China","sales@gzxinyiprint.com"
"HANGZHOU LIHE DIGITAL TECHNOLOGY CO.  LTD.","China","lihe@lihehz.com"
"HUNAN JUVENILE &amp; CHILDREN'S PUBLISHING HOUSE","China","18656094@qq.com"
"HUNAN YONGZHOU BENTENG COLOR PRINTING CO.  LTD.","China","kama@hnbtcy.com"
"JIELI PUBLISHING HOUSE CO.  LTD.","China","angel.jieli@foxmail.com"
"JILIN PUBLISHING GROUP CO.  LTD.","China","50760513@qq.com"
"MEICHENG PRINTING INT. LTD.","China","richlee@meichengprinting.com"
"MILLION PRINTING COMPANY","China","smartkan@vip.163.com"
"MORAL REGION HOLDINGS LTD.","China","aceshi@dycx.com.hk"
"NEW BUDS PUBLISHING HOUSE (TIANJIN) LIMITED COMPANY","China","david_newbuds@163.com"
"THE PETREL PUBLISHING HOUSE","China","465270573@qq.com"
"PHOENIX JUVENILE AND CHILDREN'S PUBLISHING LTD.","China","839469115@qq.com"
"SHANDONG SCIENCE AND TECHNOLOGY PRESS CO.  LTD.","China","heyue2013@163.com"
"JUVENILE &amp; CHILDREN'S PUBLISHING HOUSE  SHANGHAI CENTURY ...","China","wangcatherine901@163.com"
"SHANGHAI EVERICH IMP &amp; EXP TRADING CO. LTD.","China","albert.tang@novaeverich.com"
"SHANNXI FUTURE PUBLISHING HOUSE CO. LTD.","China","13002934092@163.com"
"SHENZHEN BABYGO INTERNATIONAL TECHNOLOGY CO.  LTD.","China","sales@cableym.com"
"SHENZHEN HUAXIN PRINTING CO.  LTD.","China","info@ehxprint.com"
"SHENZHEN JINHAO COLOR PRINTING CO.  LTD.","China","admin@lzjhy.com"
"SHENZHEN YOOHOON YIBANG ELECTRONICS CO.  LTD.","China","shari@talkingpenchina.com"
"SICHUAN CHILDREN'S PUBLISHING HOUSE CO.  LTD.","China","10698934@qq.com"
"SMART EDUCATION TECHNOLOGY LTD.","China","herman@reading-pen.com"
"TOMORROW PUBLISHING HOUSE","China","tomorrowpublishing@163.com"
"ZHEJIANG JUVENILE AND CHILDREN'S PUBLISHING HOUSE CO  LTD.","China","carolchul222@126.com"
"ZHEJIANG SINOLIGHT MEDIATEK CO.  LTD.","China","sales@sino-light.com"
"BETTERWORLD LTD.","Cyprus","bakhram@amayasoft.com"
"CYPRUS ASSOCIATION ON BOOKS FOR YOUNG PEOPLE","Cyprus","costaskatsonis@gmail.com"
"BABEL LIBROS","Colombia","editoria@babellibros.com.co"
"CÁMARA COLOMBIANA DEL LIBRO","Colombia","ksierra@camlibro.com.co"
"EDUCAR EDITORES","Colombia","gerencia.planlectot@educar.com.co"
"EDITORIAL GATOMALO","Colombia","editorialgatomalo@yahoo.com"
"INTERMEDIO EDITORES","Colombia","koarc@circulo.com.co"
"LOQUELEO COLOMBIA","Colombia","amgonzales@santillana.com"
"EDITORIAL NORMA","Colombia","fanuel.diaz@carvajal.com"
"PANAMERICANA EDITORIAL","Colombia","frojas@panamericana.com.co"
"PENGUIN RANDOM HOUSE COLOMBIA","Colombia","laura.gomez@penguinrandomhouse.com"
"REY NARANJO EDITORES","Colombia","jonaranjo@gmail.com"
"SM EDICIONES","Colombia","freddy.goncalves@grupo-sm.com"
"TIEMPO DE LEER","Colombia","directioncomercial@tiempodeleer.com"
"TRAGALUZ EDITORES S.A.S","Colombia","jpserna@tragaluzeditores.com"
"EDITIONS L'HARMATTAN - CONGO","Republic of Congo","mackiozydjackson@yahoo.fr"
"AGAWORLD","Korea","erica@agaworld.com"
"AGENCY PK","Korea","paulinekim@pkagency.com;agencypk@pkagency.com;pk_chinese@pkagency.com"
"APPLEBEE PUBLISHING INC.","Korea","sun4889@applebeebook.com"
"ARCHIVE FACTORY","Korea","contact@archivefactory.co.kr"
"AREVO","Korea","alzzamedu@gmail.com"
"ASSOCIATION OF YOUNG AUTHORS IN KOREA","Korea","yun.author@gmail.com"
"ATNOONBOOKS","Korea","atnoonbooks@naver.com"
"BANDAL","Korea","fallinnosto@hanmail.net;kbo@kinderland.co.kr"
"BEAR BOOKS","Korea","bear@bearbooks.co.kr"
"BIR PUBLISHING CO.  LTD.","Korea","claire@bir.co.kr"
"BOMBOM PUBLISHING. CO.","Korea","bbb@bombombook.com;bbsun@bombombook.com"
"BOOKGOODCOME","Korea","bookgoodcome@gmail.com"
"BORIM PRESS","Korea","tea@borimpress.com;sunjoo@borimpress.com"
"CHANGBI PUBLISHERS  INC.","Korea","copyright2@changbi.com"
"CHUNGEORAM JUNIOR","Korea","juniorbook@naver.com;clover31@hanmail.net"
"D&amp;P CO. LTD.","Korea","wind2015@naver.com"
"DESIGN KIDS","Korea","d4k903@naver.com"
"GLOYEON","Korea","shoh25@hanmail.net"
"HILLS","Korea","viki914@hanmail.net;hillson@naver.com"
"HONEY JAR","Korea","by_dogii@naver.com"
"HYEONAMSA PUBLISHING CO.  LTD.","Korea","fish@hyeonamsa.com"
"IPORTFOLIO INC.","Korea","contact@iportfolio.co.kr"
"IYAGIKOT PUBLISHING","Korea","iyagikot@naver.com"
"JAIMIMAGE PUBLISHING CO.","Korea","jaim@jaimimage.com"
"JUNIOR GIMM-YOUNG PUBLISHERS  INC.","Korea","syk@gimmyoung.com;woony5@gimmyoung.com"
"KIZ-M EDUCATION GROUP","Korea","michnam91@gmail.com"
"KOREAN PUBLISHERS ASSOCIATION","Korea","jiyeon.lee@kpa21.or.kr"
"KT&amp;G SANGSANGMADANG","Korea","msy10813@ssmadang.co.kr;keebee@ssmadang.co.kr"
"KYOWON CO. LTD.","Korea","karenkim@kyowon.co.kr;sujin.park@kyowon.co.kr"
"MIRAE N CO.  LTD.","Korea","park.jiyoung@mirae-n.com"
"NEOLAB CONVERGENCE","Korea","communication@neolab.net"
"NONJANG PUBLISHING CO.","Korea","nonjang@chol.com;amarla@hanmail.net"
"SAKYEJUL PUBLISHING L.T.D.","Korea","kanghjoo@sakyejul.co.kr"
"SAN GRIM","Korea","koreanillust@naver.com"
"SANG PUBLISHING","Korea","sangbooks@naver.com"
"SIGONGJUNIOR- SIGONGSA","Korea","irene@sigongsa.com;amelie@sigongsa.com"
"SIGONGMEDIA","Korea","webmaster@sigongmedia.co.kr"
"SMARTHAN CO.  LTD.","Korea","eunjin@smart-han.kr"
"SOMEBOOKS","Korea","chosunkyung@gmail.com"
"SON&amp;DAUGHTER","Korea","jbingbing@naver.com;khj8763@hanmail.net"
"UNIDOCS INC.","Korea","donchoi@unidocs.com"
"UNIVERSITY OF SEOUL","Korea","misag@hanmail.net"
"VICTORIA PRODUCTIONS INC.","Korea","victoria@vproductions.net"
"VUIDEA INC.","Korea","hdkim8043@naver.com"
"Y FACTORY INC.","Korea","yfactory@yfactorysoft.com"
"YEARIMDANG PUBLISHING CO.  LTD.","Korea","cke15@yearim-i.kr, khj14@yearim-i.kr;derrick@yearim-i.kr"
"YEOWON MEDIA","Korea","rights@tantani.com"
"ALGORITAM D.O.O.","Croatia","info@algoritam.hr"
"ALKA SCRIPT D.O.O.","Croatia","alkascript@alkascript.hr"
"HRVATSKA DJECJA KNJIGA - CROATIAN CHILDREN'S BOOK","Croatia","andrea@kasmir-promet.com"
"EGMONT PUBLISHING CROATIA","Croatia","corporateweb@egmont.com"
"EVENIO D.O.O.","Croatia","info@evenio.hr"
"KAŠMIR PROMET","Croatia","andrea@kasmir-promet.com"
"MATICA HRVATSKA OGRANAK DUBROVNIK","Croatia","mhdubrovnik@optinet.hr"
"MOZAIK KNJIGA D.O.O.","Croatia","zoran.maljkovic@mozaik-knjiga.hr"
"NAŠA DJECA D.O.O.","Croatia","nasa-djeca@nasa-djeca.hr"
"SKOLSKA KNJIGA D.D.","Croatia","jasenka.niksic@skolskaknjiga.hr"
"ABC FORLAG","Denmark","info@abc-forlag.dk"
"ALVILDA","Denmark","forlaget@alvilda.dk"
"ARVIDS","Denmark","karen@gorlagetarvids.dk"
"BIGINI REKLAME - THE NORDIC COLLECTIVE STAND","Denmark","bigini@bigini.dk"
"DANISH ARTS FOUNDATION  LITERATURE","Denmark","litt@kulturstyrelsen.dk"
"EGMONT ADMINISTRATION A/S","Denmark","egmont@egmont.com"
"EGMONT PUBLISHING DENMARK","Denmark","corporateweb@egmont.com"
"GLOBE PUBLISHING","Denmark","info@globe.dk;per@globe.dk"
"GYLDENDAL GROUP AGENCY","Denmark","stinne_hjortlund@gyldendalgroupagency.dk"
"JENSEN &amp; DALGAARD","Denmark","forlaget@jensenogdalgaard.dk"
"SCANDINAVIA PUBLISHING HOUSE","Denmark","dp@sph.as"
"AL-BALSAM PUBLISHING HOUSE","Egypt","dar@al-balsam.com"
"AL QASIMI","U.A.E.","abdalla@sibf.com"
"ARAB CHILDREN'S BOOK PUBLISHERS FORUM","U.A.E.","acbpf@yahoo.com"
"KALIMAT","U.A.E.","info@kalimat.ae"
"SHARJAH BOOK AUTHORITY","U.A.E.","faisal@sibf.com"
"THE UAE BOARD ON BOOKS FOR YOUNG","U.A.E.","info@uaebby.org.ae"
"EGMONT PUBLISHING ESTONIA","Estonia","corporateweb@egmont.com"
"ESTONIAN PUBLISHERS ASSOCIATION","Estonia","kirjastusteliit@eki.ee"
"HOP PLAY OÜ","Estonia","hop@hop-play.com"
"BOKADEILD FÖROYA LAERARAFELAGS","Faroe Islands","bfl@bfl.fo"
"BONNIER RIGHTS FINLAND","Finland","info@bonnierrights.fi"
"DRAMAFORUM OY","Finland","mia.lonn@dramaforum.fi"
"EGMONT PUBLISHING FINLAND","Finland","corporateweb@egmont.com"
"FILI - FINNISH LITERATURE EXCHANGE","Finland","fili@finlit.fi"
"OTAVA PUBLISHING COMPANY LTD./OTAVA GROUP AGENCY (OGA)","Finland","firstname.lastname@otava.fi;oga@otava.fi"
"SCHILDTS &amp; SÖDERSTRÖMS","Finland","info@sets.fi"
"TAMMI PUBLISHERS  REPRESENTED BY ELINA AHLBÄCK LITERARY ...","Finland","info@ahlbackagency.com"
"A DOS D'ANE","France","contact@adosdane.com"
"ABC MELODY EDITIONS","France","info@abcmelody.com"
"ACTES SUD JUNIOR","France","junior@actes-sud.fr"
"L'AGRUME","France","contact@lagrume.org"
"ALBIN MICHEL JEUNESSE","France","eloise.elandaloussi@albin-michel.fr"
"AMATERRA","France","contact@amaterra.fr"
"LES APPRENTIS REVEURS","France","contact@apprentisreveurs.com"
"ATELIER DU POISSON SOLUBLE","France","poissonsoluble@wanadoo.fr"
"BALIVERNES EDITIONS","France","editions@balivernes.com"
"BAMBOO EDITION","France","c.loiselet@bamboo.fr"
"GROUPE BAYARD","France","geraldine.hummel@groupebayard.com"
"BAYARD EDITIONS","France","geraldine.hummel@groupebayard.com"
"BENJAMINS MEDIA","France","contact@benjamins-media.org"
"BIBLIOTHÈQUE NATIONALE DE FRANCE - CENTRE NATIONAL ...","France","cnlj-jpl.contact@bnf.fr"
"CIRCONFLEXE - MILLEPAGES","France","info@circonflexe.fr"
"ÉDITIONS CLOCHETTE","France","maudor@gmail.com"
"ÉDITIONS COURTES ET LONGUES","France","thibault.gendreau@cleditions.com"
"DADA","France","dada@revuedada.fr"
"DE LA MARTINIÈRE JEUNESSE","France","chartmann@lamartiniere.fr;fpariente@lamartiniere.fr"
"ÉDITIONS DELCOURT","France","tleroux@groupedelcourt.com"
"DIDIER JEUNESSE","France","arisaliti@editions-didier.fr"
"L'ECOLE / L'ECOLE DES LOISIRS","France","edl@ecoledesloisirs.com"
"EDITIONS AUZOU - EDI","France","aurelia.hardy@auzou.com"
"EDITIONS BELIN","France","anne.vignau@editions-belin.fr"
"EDITIONS DES GRANDES PERSONNES","France","editionsdesgrandespersonnes@gmail.com;sabine.louali@gmail.com"
"EDITIONS GRAINE 2","France","e.hourtoulle@graine2-editions.com"
"EDITIONS GRASSET-JEUNESSE","France","vvanguelov@grasset.fr"
"EDITIONS LE VERGER DES HESPÉRIDES","France","levergerdeshesperides@hotmail.fr"
"ÉDITIONS MAGNANI","France","contact@editions-magnani.com"
"EDITIONS PLAY BAC","France","foreign-rights@playbac.fr"
"EDITIONS SOLEIL","France","saupert@groupedelcourt.com"
"EDITIONS TALENTS HAUTS","France","laurence.faron@talentshauts.fr"
"EDOKI ACADEMY","France","valerie@edokiacademy.com"
"FLAMMARION-PÈRE CASTOR","France","foreignrights@flammarion.fr"
"FLEURUS EDITIONS","France","fleuruseditions@fleuruseditions.com"
"LES FOURMIS ROUGES","France","hannele@hanneleandassociates.fr;b.bottero@fourmisrouges.fr"
"FRANCE-BUREAU INTERNATIONAL DE L'EDITION FRANÇAISE","France","info@bief.org"
"GALLIMARD JEUNESSE","France","anne.bouteloup@gallimard-jeunesse.fr"
"GAUTIER-LANGUEREAU / DEUX COQS D'OR","France","avignol@hachette-livre.fr"
"GLÉNAT EDITIONS","France","louise.carcopino@glenat.com;marion.corveler@glenat.com"
"GRÜND / DRAGON D'OR","France","james.elliott@edi8.fr"
"GULF STREAM EDITEUR","France","angela.lery@gulfstream.fr"
"HACHETTE ASTÉRIX","France","mjablonski@hachette-livre.fr"
"HACHETTE JEUNESSE","France","avignol@hachette-livre.fr"
"HACHETTE LIVRE","France",""
"HATIER JEUNESSE","France","arisaliti@editions-hatier.fr"
"HELIUM","France","info@helium-editions.fr"
"HOLINAIL","France","info@holinail.com"
"HONGFEI CULTURES","France","rights@hongfei-cultures.com"
"HUMANOIDS","France","licensing@humano.com"
"IMAV ÉDITIONS","France","n.gaucher@imaveditions.com"
"KALEIDOSCOPE","France","laurie@editions-kaleidoscope.com"
"KANJIL","France","kanjilediteur@gmail.com"
"KILOWATT ÉDITIONS","France","infos@kilowatt.fr"
"EDITIONS LAROUSSE","France","nmoreau@larousse.fr"
"LE POMMIER","France","marie-agathe.legueut@editions-lepommier.fr"
"L'ELAN VERT","France","elan.vert@wanadoo.fr"
"LES DOIGTS QUI RÊVENT","France","philippe.claudet@wanadoo.fr"
"LES EDITIONS DE LA SALAMANDRE","France","info@salamandre.net"
"LES EDITIONS DES ELEPHANTS","France","rights@les-editions-des-elephants.com"
"LIRABELLE","France","lirabelle-olivierayme@wanadoo.fr"
"EDITIONS LITO","France","aurelia.spalacci@editionslito.com"
"EDITIONS THIERRY MAGNIER","France","etm@editions-thierry-magnier.com"
"MANGO JEUNESSE","France","m.girona@fleuruseditions.com"
"MARCEL ET JOACHIM","France","charlotte.duverne@marceletjoachim.fr"
"MARMAILLE ET COMPAGNIE","France","contact@marmaille-compagnie.com"
"MEDIATOON LICENSING","France","contact.mfr@mediatoon.com"
"EDITIONS MEMO","France",""
"MILA EDITIONS","France","info@mila-editions.fr"
"MILAN EDITIONS","France","geraldine.hummel@groupebayard.com"
"MOULIN ROTY","France","info@moulinroty.it"
"MSA AGENCIA EDITORIAL","France","info@msaagenciaeditorial.com"
"NATHAN","France",""
"OCÉAN  ÉDITIONS","France","eric@ocean-editions.fr"
"OKIDOKID","France","jdelagausie@okidokid.fr"
"EDITIONS PICCOLIA","France","info@editions-piccolia.fr"
"PIMCHOU","France","abriard@pimchou.fr"
"QUELLE HISTOIRE","France","alexandre.morelli@quellehistoire.fr"
"RAGEOT EDITEUR","France","rageotediteur@editions-hatier.fr"
"LES ÉDITIONS DU RICOCHET","France","ricochet.contact@orange.fr"
"ROUERGUE S.A.","France","info@lerouergue.com"
"RUE DE L' ÉCHIQUIER","France","contact@ruedelechiquier.net"
"RUE DE SEVRES","France","idarthy@ecoledesloisirs.com"
"RUE DU MONDE","France","ruedumonde@wanadoo.fr"
"SALON DU LIVRE ET DE LA PRESSE JEUNESSE - TRANSBOOK","France","contact@slpj.fr"
