"name","mail","mail2","tel","tel2","adrs","adrs2"
"ECOLE PRIVEE LEON MARIE","ecmarlma@edres74.net","Not found","04 50 69 71 69","Not found","Rue des Ecoles74150 MARCELLAZ ALBANAISFrance","Not found"
"ECOLE PRIVEE LES SAINTS-ANGES","st_anges@club-internet.fr","Not found","01 48 28 33 35","Not found","8 rue de Vouillé75015 PARISFrance","Not found"
"ECOLE PRIVEE MARIE RIVIER","ecole.marie.rivier@wanadoo.fr","Not found","05 56 21 22 83","Not found","Place de l'Eglise33370 FARGUES ST HILAIREFrance","Not found"
"ECOLE PRIVEE SAINT-LOUIS","ecole.stlouismariani@wanadoo.fr","Not found","04 91 60 00 01","Not found","Place des Abattoirs13015 MARSEILLEFrance","Not found"
"ECOLE PRIVEE SAINTE-MARIE","ec.ch-marais.privee.mixte@ec44.scolanet.org","Not found","02 40 53 20 37","Not found","36 rue de la Brière44410 LA CHAPELLE DES MARAISFrance","Not found"
"ECOLE PRIVEE SAINTE-MARIE","ec.derval.ste-marie@ec44.scolanet.org","Not found","02 40 07 72 60","Not found","2 rue de la Plaine44590 DERVALFrance","Not found"
"ECOLE PRIVEE SAINT-JOSEPH - SAINTE MARIE","ec.heric.st-joseph@ec44.scolanet.org","Not found","02 40 57 67 34","Not found","1 allée de la Chataigneraie44810 HERICFrance","Not found"
"ECOLE PRIVEE NOTRE-DAME","Not found","Not found","03 28 62 00 75","Not found","21 rue Abel Vermesch59380 WARHEMFrance","Not found"
"ECOLE PRIVEE SAINT-VAAST","Not found","Not found","03 20 78 84 84","Not found","170 rue de l'Agrippin59118 WAMBRECHIESFrance","Not found"
"ECOLE PRIVEE SAINT-JOSEPH","ec.preenpail.stjoseph@ec53.org","Not found","0243030455","Not found","27 rue Aristide Briand53140 PRE EN PAILFrance","Not found"
"ECOLE MATERNELLE PRIVEE BELLEVUE","Not found","Not found","04 66 31 14 68","Not found","3 rue des Branchettes48200 ST CHELY D'APCHERFrance","Not found"
"ECOLE PRIVEE MONSEIGNEUR MERICQ","Not found","Not found","05 62 94 15 73","Not found","14 rue Rouy65100 LOURDESFrance","Not found"
"ECOLE PRIVEE   NOTRE-DAME DE LA SAGESSE","e-notredame-latremblade@ac-poitiers.fr","Not found","05 46 36 12 31","Not found","25 rue de la Seudre17390 LA TREMBLADEFrance","Not found"
"ECOLE PRIVEE NOTRE-DAME DU VOEU","n.d.v.56h@wanadoo.fr","Not found","02 97 36 22 79","Not found","8 rue du Four56700 HENNEBONTFrance","Not found"
"ECOLE PRIVEE MONTAUD","ecoleprivee_montaud@laposte.net","Not found","04 77 74 65 08","04 77 93 27 95 (maternelle)","7 boulevard Albert 1er42000 ST ETIENNEFrance","Not found"
"ECOLE PRIVEE   SAINT-DOMINIQUE SAVIO","Not found","ec.stegemmessurloire.dsavio@ec49.org","02 41 66 50 50","Not found","29 place de la Mairie49130 STE GEMMES SUR LOIREFrance","Not found"
"ECOLE PRIVEE DES COLOMBES","ecolombes@yahoo.fr","Not found","04 78 48 48 49","Not found","Le Bourg69610 GREZIEU LE MARCHEFrance","Not found"
"ECOLE PRIVEE DES TILLEULS","ec.st-aubin-chateau.priv.mixte@ec44.scolanet.org","ecole.saintaubin@wanadoo.fr","02 40 28 44 60","Not found","9 rue de la Gaudinais44110 ST AUBIN DES CHATEAUXFrance","Not found"
"ECOLE PRIVEE NOTRE-DAME DE JOIE","institut.notre.dame@wanadoo.fr","Not found","01 45 34 23 70","Not found","19 rue Louis Blanc92190 MEUDONFrance","Not found"
"ECOLE PRIVEE SAINTE-ANNE","eco22.ste-anne.plelo@eco.ecbretagne.org","Not found","02 96 74 12 91","Not found","4 rue des Ecoles22170 PLELOFrance","Not found"
"ECOLE ET COLLEGE PRIVES   SAINT-JOSEPH","St.joseph.oyonnax@wanadoo.fr","Not found","04 74 73 59 30","04 74 77 08 81","Collège et maternelle : 12 rue Michelet01100 OYONNAXFrance","Primaire : 76 rue Michelet"
"ECOLE PRIVEE SACRE-COEUR  SAINT-LOUIS DE GONZAGUE","Not found","Not found","03 20 48 61 24","Not found","47 place du Général de Gaulle59850 NIEPPEFrance","Not found"
"ECOLE PRIVEE SAINT-MARTIN / IMMACULEE","ec.nantes.st-martin@ec44.scolanet.org","st-martin-legeay@wanadoo.fr","02 40 46 39 98","Not found","4 rue Jean-Baptiste Legeay44100 NANTESFrance","Not found"
"ECOLE PRIVEE SAINT-MICHEL","saintmichel.gorron@voila.fr","ec.gorron.stmichel@ec53.org","02 43 08 64 14","02 43 08 07 40","Rue Saint-Michel53120 GORRONFrance","Maternelle : Place de l'Eglise"
"ECOLE PRIVEE SAINT-GUIGNER","eco.stgu.pluvigner@ddec56.org","skolpluv@infonie.fr","02 97 24 75 69","Not found","19 rue de la Libération56330 PLUVIGNERFrance","Not found"
"ECOLE PRIVEE SAINT-JOSEPH","Not found","Not found","02 97 38 50 76","Not found","3 rue de la Mairie56300 NEULLIACFrance","Not found"
"ECOLE PRIVEE SAINT-JOSEPH","Not found","Not found","02 97 22 45 57","Not found","2 rue de la Roseraie56120 PLEUGRIFFETFrance","Not found"
"ECOLE PRIVEE SAINTE-ANNE","ec.montjean.steanne@ec53.org","Not found","02 43 02 12 35","Not found","11 rue du vieux Château53320 MONTJEANFrance","Not found"
"ECOLE PRIVEE SAINT-PAUL","ec.bazougers.stpaul@ec53.org","Not found","02 43 02 32 85","Not found","14 rue de Forcé53170 BAZOUGERSFrance","Not found"
"ECOLE PRIVEE JEANNE D'ARC","ecole.jeanne.darc.53@wanadoo.fr","Not found","02 43 69 08 35","02 43 69 00 22","96 rue de la Libération53940 ST BERTHEVINFrance","Maternelle :"
"ECOLE ET COLLEGE PRIVES SAINT-SEURIN","Not found","accueil@saint-seurin.com","05 56 24 27 88","Not found","75 rue Lachassaigne33000 BORDEAUXFrance","Not found"
"INSTITUTION SAINTE-GENEVIEVE SAINT-JOSEPH  ECOLE ET COLLEGE PRIVES","Not found","Not found","05 65 68 05 14","05 65 73 30 40 (école)","1 rue Sarrus12000 RODEZFrance","Not found"
"INSTITUTION SAINTE-MARIE  ECOLE ET COLLEGE PRIVES","sainte.marie87.ecole.college@wanadoo.fr","Not found","05 55 68 11 72","Not found","18 place de la République87300 BELLACFrance","Not found"
"ECOLE PRIVEE SAINT-PIERRE","ecole.stpierre.vigan@club-internet.fr","Not found","04 67 81 04 46","04 67 81 88 66","10 rue de Mareilles30120 LE VIGANFrance","Maternelle :"
"ECOLE PRIVEE SAINT-THURIAU","Not found","Not found","02 97 67 00 73","Not found","3 rue Ker Anna56230 BERRICFrance","Not found"
"ECOLE PRIVEE SAINT-JOSEPH - SAINT-HENRI","eco.sthe.bignan@ddec56.org","Not found","02 97 60 52 83","Not found","8 rue de la Résistance56500 BIGNANFrance","Not found"
"ECOLE PRIVEE SAINT-JEAN-BAPTISTE","eco56.stjb.le-gorvello@eco.ecbretagne.org","Not found","02 97 43 05 01","Not found","Hameau Le Gorvello56250 SULNIACFrance","Not found"
"ECOLE PRIVEE NOTRE-DAME","notredame-laille@wanadoo.fr","eco35.notre-dame.laille@ecbretagne.org","02 99 42 57 14","Not found","23 rue du Parc35890 LAILLEFrance","Not found"
"ECOLE PRIVEE","ecolelachapelledebrain@wanadoo.fr","Not found","02 99 70 20 94","Not found","Rue de la Pensée35660 LA CHAPELLE DE BRAINFrance","Not found"
"ECOLE PRIVEE SAINTE-ANNE","ecole.sainte-anne.bazouges@wanadoo.fr","Not found","02 99 97 46 55","Not found","12 rue d'Antrain35560 BAZOUGES LA PEROUSEFrance","Not found"
"COURS BAUTAIN","cours-bautain@wanadoo.fr","Not found","01 64 36 23 23","Not found","13 rue Sainte-Marie77230 JUILLYFrance","Not found"
"ECOLE PRIVEE SAINT-FELIX","st-felix-ecole@wanadoo.fr","Not found","04 75 55 99 93","Not found","33 rue Farnerie26000 VALENCEFrance","Not found"
"ECOLE PRIVEE SAINT-JOSEPH / SAINT-MELAINE","primsaintjo@wanadoo.fr","Not found","02 99 00 74 81","Not found","1 rue George Sand35220 CHATEAUBOURGFrance","13 rue du Vieux Moulin"
"INSTITUTION LA DOCTRINE CHRETIENNE","Not found","Not found","03 88 32 44 16","Not found","14 rue Brûlée67009 STRASBOURG CEDEXFrance","Not found"
"ECOLE PRIVEE NOTRE-DAME DE LIESSE","Not found","Not found","02 98 84 33 27","Not found","2 rue des Ecoles - BP 2329290 ST RENANFrance","Not found"
"ECOLE PRIVEE   NOTRE-DAME DE LA CLARTE","laclarte44@laposte.net","Not found","02 40 78 70 18","Not found","43 rue Félix Platel44310 ST PHILBERT DE GRAND LIEUFrance","Not found"
"ECOLE PRIVEE SAINT-VINCENT","brissac.stvincent@ec49.fr","ec.brissac.stvincent@ec49.org","02 41 54 81 65","Not found","5 rue de Rollée49320 BRISSAC QUINCEFrance","Not found"
"ECOLE PRIVEE SAINT-ALBERT","ecole.saint-albert@wanadoo.fr","saint-albert.dir@wanadoo.fr","01 60 01 74 30","Not found","49 rue Jean Jaurès77440 LIZY SUR OURCQFrance","Not found"
"ECOLE PRIVEE SAINT-BEHO","Not found","Not found","02 97 34 61 42","Not found","4 rue de la Fontaine56320 PRIZIACFrance","Not found"
"ECOLE PRIVEE SAINT-PAUL","ce.0380731N@ac-grenoble.fr","Not found","04 74 56 40 82","Not found","3 chemin Emile Faure38370 ST CLAIR DU RHONEFrance","Not found"
"ECOLE PRIVEE EMILIE DE RODAT","Not found","Not found","05 65 45 21 92","Not found","6 allée Aristide Briand12200 VILLEFRANCHE DE ROUERGUEFrance","Not found"
"ECOLE PRIVEE IMMACULEE-CONCEPTION","Not found","Not found","03 21 38 01 82","Not found","18 place de la Ghière62500 ST OMERFrance","Not found"
"ENSEMBLE SCOLAIRE  SAINT-LAURENT LA PAIX NOTRE-DAME","st.laurent.primaire@wanadoo.fr","st.laurent.direction@wanadoo.fr","01 64 30 03 99","01 64 12 47 00","47 rue Saint-Laurent77400 LAGNY SUR MARNE CEDEXFrance","Lycée : 43 rue Alfred Brebion"
"ECOLE ET COLLEGE PRIVES SAINT-PAUL","st-paul-mamers@wanadoo","ec.mamers.stpaul@ec72.org","02 43 97 60 52","Not found","24 rue Ledru Rollin72600 MAMERSFrance","Not found"
"ECOLE, COLLEGE ET LYCEE POLYVALENT  PRIVES NOTRE-DAME","ndpapel12@scolalor.tm.fr","Not found","03 87 74 36 80","Not found","2 rue de Metz57245 PELTREFrance","Not found"
"ECOLE PRIVEE NOTRE-DAME   DE BONNE GARDE","ec.lusanger.nd-bonne-garde@ec44.scolanet.org","Not found","02 40 07 88 50","Not found","5 rue de la Gare44590 LUSANGERFrance","Not found"
"ECOLE PRIVEE NOTRE-DAME","notre-dame2@wanadoo.fr","ec.mouzeil.notre-dame@ec44.scolanet.org","02 40 97 73 03","Not found","2 rue de la Prée44850 MOUZEILFrance","Not found"
