"name","mail","mail2","tel","tel2","adrs","adrs2"
"ECOLE PRIVEE DE LA PROVIDENCE","eco22.la-pro.st-brieuc@eco.ecbretagne.org","eco22.la-pro.st-brieuc@ecbretagne.org","02 96 33 24 50","296 332 450","2 rue des Lycéens Martyrs - BP 461322046 ST BRIEUC CEDEX 02France","Not found"
"ECOLE PRIVEE SAINT-JEAN","ecolestjeanchartres@wanadoo.fr","directionsaintjean@wanadoo.fr","02 37 21 57 01","Not found","22 rue du Faubourg Saint-Jean28000 CHARTRESFrance","Not found"
"ECOLE PRIVEE LA TRINITE SAINT-JOSEPH","ecole-st-joseph4@wanadoo.fr","Not found","05 49 81 41 29","Not found","2 rue Saint-Gabriel79700 MAULEONFrance","Not found"
"ECOLE PRIVEE MARCA","Not found","Not found","05 59 21 57 76","Not found","11-13 rue Pierre Marca64290 GANFrance","Not found"
"ETABLISSEMENT PRIVE MASSILLON","info@ecolemassillon.com","Not found","01 53 01 91 60","Not found","2 bis quai des Célestins75004 PARISFrance","Primaire : 9 rue du Petit Musc"
"ECOLE PRIVEE SAINT-PAUL","accueil@saint-paul-angouleme.fr","Not found","05 45 92 04 79","Not found","9 rue Taillefer16000 ANGOULEMEFrance","Not found"
"ECOLE PRIVEE SAINT-PIERRE","Not found","Not found","03 26 47 95 50","Not found","21 rue Brûlée51100 REIMSFrance","Not found"
"ECOLE PRIVEE SAINTE-ANNE","sainte.anne.ecole@wanadoo.fr","Not found","02 98 48 43 40","Not found","18 route de la Trinité29280 PLOUZANEFrance","Not found"
"ECOLE PRIVEE SAINTE-BERNADETTE","direction.ste-bernadette64@orange.fr","Not found","05 59 03 22 00","Not found","19 rue PlantecoudeQuartier Chassin64600 ANGLETFrance","Not found"
"ECOLE PRIVEE SAINTE-CROIX  SAINT-JEAN-BAPTISTE","Not found","Not found","03 21 71 55 67","Not found","20 rue Ozanam62000 ARRASFrance","Not found"
"ECOLE PRIVEE SAINTE-FAMILLE","Not found","Not found","05 65 81 17 03","Not found","8 rue des Cordeliers12200 VILLEFRANCHE DE ROUERGUEFrance","Not found"
"ECOLE PRIVEE SAINTE-JEANNE D'ARC","Not found","Not found","02 35 46 35 25","Not found","5 rue des Guêpes76310 STE ADRESSEFrance","Not found"
"ECOLE PRIVEE SAINTE-MARGUERITE-MARIE","ecole.saintemarguerite@sfr.fr","Not found","05 55 35 18 36","Not found","11 avenue Turgot87410 LE PALAIS SUR VIENNEFrance","Not found"
"ECOLE PRIVEE NOTRE-DAME","ecole.frimousse@free.fr","Not found","04 78 87 04 54","Not found","32 route de Sainte-Consorce69280 MARCY L ETOILEFrance","Not found"
"ECOLE PRIMAIRE PRIVEE DON BOSCO","ecoledonbosco@free.fr","Not found","02 40 49 79 27","Not found","9 rue du Moulin des Carmes44300 NANTESFrance","Not found"
"COURS LIBRE SACRE-COEUR","sacrecoeur.tournon.7@free.fr","Not found","04 75 08 53 65","Not found","Rue Roseron07300 TOURNON SUR RHONEFrance","Not found"
"ECOLE PRIVEE JEAN XXIII","Not found","Not found","04 94 24 34 96","Not found","100 rue Chanoine Bouisson83200 TOULONFrance","Not found"
"ECOLE PRIVEE LE PAVILLON","Not found","Not found","04 79 55 68 12","Not found","455 rue du Prince73210 AIMEFrance","Not found"
"ECOLE PRIVEE SAINT-SAUVEUR","saunan1@scolalor.net","Not found","03 62 17 62 84","Not found","52 rue du Chemin Blanc54000 NANCYFrance","Not found"
"LA SOURCE  ECOLE, COLLEGE ET LYCEE PRIVES","la.source@wanadoo.fr","Not found","01 46 26 99 88","Not found","11 rue Ernest Renan92190 MEUDONFrance","Not found"
"ECOLE, COLLEGE ET LYCEE  PRIVES SAINT-CHARLES","st-charles@wanadoo.fr","Not found","03 23 52 10 50","Not found","1 rue du Brouage - BP 7302302 CHAUNY CEDEXFrance","Not found"
"ECOLE PRIVEE SAINTE MARIE-MADELEINE","Not found","Not found","0491493292","Not found","24 place Edmond Audran13004 MARSEILLEFrance","Not found"
"ECOLE PRIVEE LA REDEMPTION","ecole-redemption@wanadoo.fr","direction@ecole-redemption.fr","04 78 93 07 44","Not found","35 rue du Lieutenant-Colonel Prévost69006 LYONFrance","Not found"
"ECOLE PRIVEE LES ABEILLES","epa38@orange.fr","Not found","09 77 81 23 33","Not found","Rue du Stade38780 OYTIER ST OBLASFrance","Not found"
"ECOLE PRIVEE FENELON","ecole.fenelon@sfr.fr","Not found","05 53 22 20 20","Not found","18 boulevard Maine de Biran24100 BERGERACFrance","Not found"
"ECOLE PRIVEE JEANNE D'ARC","fillacier@free.fr","Not found","03 84 47 26 69","Not found","18 rue du Puits Salé39000 LONS LE SAUNIERFrance","Not found"
"ECOLE PRIVEE JEHANNE DES LYS","jehanne.deslys@wanadoo.fr","Not found","04 66 36 62 30","Not found","13 rue du Cirque Romain30900 NIMESFrance","Not found"
"ECOLE PRIVEE GAN CHALOM","Not found","Not found","03 88 35 11 82","Not found","1 rue René Hirschler67000 STRASBOURGFrance","Not found"
"ECOLE PRIVEE MARIE-IMMACULEE","ec.marieimmaculee@free.fr","Not found","05 57 51 12 06","Not found","77 cours des Girondins33500 LIBOURNEFrance","Not found"
"ECOLE PRIVEE LE SACRE-COEUR","siteecoledusacrecoeur@wanadoo.fr","Not found","01 46 27 18 24","Not found","36 rue Dautancourt75017 PARISFrance","Not found"
"ECOLE, COLLEGE SAINTE-GENEVIEVE","ecole.clg.ste.genevieve.95@wanadoo.fr","Not found","01 34 11 70 80","Not found","72 rue de la République95100 ARGENTEUILFrance","Not found"
"ISP - INTERNATIONAL SCHOOL OF PARIS - PRIMAIRE","info@isparis.edu","Not found","01 42 24 43 40","01 45 24 46 12","96 bis rue du Ranelagh75016 PARISFrance","6 rue Beethoven"
"ECOLE PRIVEE DON BOSCO","ecole.don.bosco.heyrieux@wanadoo.fr","Not found","04 78 40 03 35","Not found","3 avenue Rozier38540 HEYRIEUXFrance","Not found"
"ECOLE PRIVEE SAINT-JOSEPH","st.joseph.st.saulve@ddec59c.org","saint-joseph@nordnet.fr","03 27 29 86 84","Not found","15 place Louis Maillard59880 ST SAULVEFrance","Not found"
"ECOLE PRIVEE L'ARGOAT SACRE-COEUR","ecoleargoat.lesneven@wanadoo.fr","Not found","02 98 83 03 27","Not found","31 rue de l'Argoat29260 LESNEVENFrance","Not found"
"ECOLE PRIVEE DE LA SAINTE-FAMILLE","stefamil@wanadoo.fr","Not found","03 23 82 21 59","Not found","12 rue Moreau Nélaton02130 FERE EN TARDENOISFrance","Not found"
"ECOLE PRIVEE NOTRE-DAME DE LA CHARITE","lacharite@wanadoo.fr","Not found","02 98 69 01 50","Not found","31 rue Batz29250 ST POL DE LEONFrance","Not found"
"INSTITUTION PRIVEE JEANNE D'ARC ÉCOLE COLLÈGE ET LYCÉE","mhjeandenis@jacolombes.com","Not found","01 55 66 91 00","Not found","9 boulevard de Valmy92700 COLOMBESFrance","Not found"
"ECOLE PRIVEE SAINTE-THERESE","Not found","Not found","04 73 54 33 25","Not found","38 rue du Charles Souligoux63570 BRASSAC LES MINESFrance","Not found"
"ECOLE PRIVEE LES FORGES","enseignantsdesforges@gmail.com","Not found","04 74 88 05 80","Not found","95 rue des Forges38110 DOLOMIEUFrance","Not found"
"ECOLE DU PETIT BERGER","direction@ecoledupetitberger.fr","Not found","04 74 00 73 70","Not found","250 rue des Ecoles01480 ARS SUR FORMANSFrance","Not found"
"GROUPE SCOLAIRE  SAINT-PIERRE - SAINT-JEAN  ECOLE PRIVEE","spsjecole@wanadoo.fr","Not found","01 46 24 95 45","Not found","23 rue des Poissonniers92200 NEUILLY SUR SEINEFrance","Not found"
"ECOLE PRIVEE SAINTE-POMPEE","eco22.ste-pompee.langoat@eco.ecbretagne.org","Not found","02 96 91 37 27","Not found","Rue des Ecoles22450 LANGOATFrance","Not found"
"ECOLE PRIVEE SAINTE-ANNE","Not found","eco22.ste-anne.plaine-haute@eco.ecbretagne.org","02 96 42 94 94","Not found","6 impasse Porte Carfot22800 PLAINE HAUTEFrance","Not found"
"ECOLE PRIVE SAINT-GEORGES","colsg12.entraygues@wanadoo.fr","Not found","05 65 44 53 49","Not found","15 quai du Lot12140 ENTRAYGUES SUR TRUYEREFrance","Not found"
"ECOLE ET COLLEGE PRIVES SAINT-ANATOILE","Not found","Not found","03 84 73 08 78","Not found","1 place Saint-Anatoile39110 SALINS LES BAINSFrance","Not found"
"ECOLE PRIVEE LA COLOMBIERE","dir.ecolelacolombiere@wanadoo.fr","Not found","03 85 48 47 05","Not found","15 rue Leschenault de la Tour71100 CHALON SUR SAONEFrance","Not found"
"ECOLE MATERNELLE PRIVEE  LE PRE EN BULLES","maternelle.struffine@free.fr","Not found","03 87 60 57 23","Not found","3 rue des Jardins57130 STE RUFFINEFrance","Not found"
"ECOLE PRIVEE SAINT-MARTIN","Not found","Not found","03 84 27 87 19","Not found","2 rue Kléber90600 GRANDVILLARSFrance","Not found"
"ECOLE PRIVEE SAINTE-FOY","saintefoy.ecole@wanadoo.fr","Not found","05 53 64 35 45","Not found","28 rue Jean Lafon47200 MARMANDEFrance","Not found"
"ECOLE PRIVEE SAINTE-JEANNE D'ARC","jdalun1@scolalor.net","Not found","03 83 74 61 13","Not found","14 rue des Bénédictins54300 LUNEVILLEFrance","Not found"
"ECOLE PRIVEE SAINT-MICHEL","Not found","Not found","02 33 73 01 23","Not found","24 rue d'Alençon61130 BELLEMEFrance","Not found"
"ECOLE PRIVEE SAINT-JOSEPH - NOTRE-DAME","Not found","ec.parce.ndstjoseph@ec72.org","02 43 95 39 23","Not found","11 rue de l'Epervier72300 PARCE SUR SARTHEFrance","Not found"
"ECOLE PRIVEE SAINTE-MARIE","directrice@saintemarie-caen.asso.fr","Not found","02 31 46 86 31","Not found","8 avenue Croix-Guérin14000 CAENFrance","Not found"
"ECOLE PRIVEE SAINT-JOSEPH","stjodk@wanadoo.fr","stjodk@club-internet.fr","03 28 64 78 65","Not found","50 rue de la Paix59140 DUNKERQUEFrance","Not found"
"ECOLE ST-CHRISTOPHE","Not found","Not found","01 48 28 89 29","Not found","82 rue de l'Abbé Groult75015 PARISFrance","Not found"
"ECOLE ET COLLEGE PRIVES SAINTE-MARIE","saintemarie.2@wanadoo.fr","Not found","03 86 25 07 70","Not found","16 rue Paul Bert58300 DECIZEFrance","Not found"
"ECOLE PRIVEE SAINTE-ANNE","st.Joseph22quessoy@wanadoo.fr","eco22.ste-anne.quessoy@eco.ecbretagne.org","02 96 42 31 95","Not found","23 rue de la Corderie22120 QUESSOYFrance","Not found"
"ECOLE PRIVEE SAINT-JOSEPH","ecole-st-joseph-oissel@wanadoo.fr","Not found","02 35 64 74 85","Not found","8 rue Emile Combes76350 OISSELFrance","Not found"
"ECOLE PRIVEE SAINT-LAURENT","laubre1@scolalor.net","Not found","03 29 25 41 61","Not found","1 rue Mougel Bey88250 LA BRESSEFrance","Not found"
"ECOLE PRIVEE SAINT-LOUIS","saintlouis76@free.fr","Not found","02 35 96 77 35","Not found","933 rue Charles de Gaulle76640 FAUVILLE EN CAUXFrance","Not found"
"ECOLE PRIVEE SAINT-MICHEL","ecole-st-michel@wanadoo.fr","ec.stmichel.yvetot@srec-hn.com","02 35 95 12 86","Not found","6 rue des Jardins76190 YVETOTFrance","Not found"
"ECOLE PRIVEE SAINT-JOSEPH","eco22.stjo.langourla@eco.ecbretagne.org","Not found","02 96 30 41 23","Not found","Le Bourg22330 LANGOURLAFrance","Not found"
"ECOLE PRIVEE ELISABETH DE LA TRINITE","ecole@elisabethdelatrinite.com","Not found","03 80 67 20 48","Not found","30 rue Jean-Baptiste Baudin21000 DIJONFrance","Not found"
"ECOLE PRIVEE DU SACRE-COEUR","ecole-sacre-coeur@wanadoo.fr","Not found","02 43 88 43 27","Not found","4 rue de la Dabardière72540 LOUEFrance","Not found"
"ECOLE PRIVEE JEANNE D'ARC","ecolej.darc@wanadoo.fr","Not found","05 55 65 52 02","Not found","1 rue Jeanne d'Arc23110 EVAUX LES BAINSFrance","Not found"
"ECOLE PRIVEE VICTOIRE DE SAINT-LUC","Not found","Not found","02 98 91 50 42","Not found","24 rue Ar Marquis29710 LANDUDECFrance","Not found"
"ECOLE PRIVEE SAINTE-GENEVIEVE","ecole-ste-genevieve-dominicaines@wanadoo.fr","Not found","01 43 54 11 41","Not found","65 rue du Cardinal Lemoine75005 PARISFrance","Not found"
"ÉCOLE, COLLÈGE ET LYCÉE PRIVÉS  HENRI MATISSE","contact@henrimatisse.fr","Not found","01 45 28 44 70","Not found","88 bis rue Jules Guesde93100 MONTREUILFrance","Not found"
"FENELON - NOTRE-DAME  ECOLE, COLLEGE ET LYCEE GENERAL,  TECHNOLOGIQUE ET PROFESSIONNEL PRIVES","contact@fenelon-notredame.fr","ecole@fenelon-notredame.fr","05 46 41 04 20","05 46 41 90 05","36 rue Massiou - BP 16117005 LA ROCHELLE CEDEX 1France","Not found"
"CENTRE SCOLAIRE LA XAVIERE  ECOLE ET COLLEGE PRIVES","Not found","memet@laxaviere.com","04 78 76 56 76","Not found","9-11 rue du Professeur Roux69200 VENISSIEUXFrance","Not found"
"ECOLE PRIVEE SAINT-MARTIN","ec.brainsurlonguenee.stmartin@ec49.org","Not found","02 41 95 27 10","Not found","35 rue d'Anjou49220 BRAIN SUR LONGUENEEFrance","Not found"
"ECOLE PRIVEE","ecole.st.etienne-du-bois@wanadoo.fr","Not found","04 74 30 50 26","Not found","34 rue de la Gare01370 ST ETIENNE DU BOISFrance","Not found"
"ECOLE PRIVEE PROTESTANTE MARIE DURAND","ecolemariedurand@tiscali.fr","Not found","04 66 67 31 51","Not found","1 rue de Sauve30900 NIMESFrance","Not found"
"ECOLE PRIVEE LE SACRE-COEUR","contact@janze-sacre-coeur.com","Not found","02 99 47 03 08","Not found","10 boulevard Gambetta35150 JANZEFrance","Not found"
"ECOLE PRIVEE NOTRE DAME DU MONT","Not found","Not found","03 21 88 85 88","Not found","17 rue de la Montagne59143 WATTENFrance","Not found"
"ECOLE PRIVEE JEANNE D'ARC","eja-sgg@wanadoo.fr","ecolejdastgenix@yahoo.fr","04 76 31 81 30","Not found","Rue Jeanne d'Arc73240 ST GENIX SUR GUIERSFrance","Not found"
"ECOLE PRIVEE LA TRINITE","trinite.ecole@wanadoo.fr","Not found","02 40 81 08 13","Not found","5 rue Jean de Laval44110 CHATEAUBRIANTFrance","Not found"
"ECOLE PRIVEE LES TEMPLIERS","ec.etriche.lestempliers@ec49.org","Not found","02 41 42 84 64","Not found","5 rue de la Templerie49330 ETRICHEFrance","Not found"
"ECOLE SAINTE-ELISABETH DE PLAISANCE","ste-elisabeth-de-plaisance@orange.fr","Not found","01 43 20 03 58","Not found","12 rue Croce Spinelli75014 PARISFrance","Not found"
"ECOLE PRIVEE NOTRE-DAME","Not found","Not found","03 85 21 09 80","03 85 21 09 84","45 rue de l'Héritan71000 MACONFrance","Not found"
"ECOLE PRIVEE MARIE IMMACULEE","ce.0380411R@ac-grenoble.fr","Not found","04 76 36 66 35","Not found","4 rue de la Providence38470 VINAYFrance","Not found"
"ECOLE PRIVEE SAINTE-ANNE","steanne.ecole@wanadoo.fr","ec.bagneux.steanne@ec49.org","02 41 50 61 13","Not found","114 ter rue du Pont Fouchard49400 BAGNEUXFrance","Not found"
"ECOLE PRIVEE SAINT-JOSEPH","Not found","Not found","04 74 69 32 53","Not found","13 rue de Châtillon01090 MONTMERLEFrance","Not found"
"ECOLE ET COLLEGE PRIVE SAINT-JOSEPH","Not found","jpmey@wanadoo.fr","04 77 50 09 37","Not found","5 rue Peyrard42380 ST BONNET LE CHATEAUFrance","Not found"
"ECOLE PRIVEE SAINTE-THERESE","stherese@wanadoo.fr","Not found","04 94 94 64 32","Not found","12 rue d'Alsace83500 LA SEYNE SUR MERFrance","Not found"
"ECOLE PRIVEE DE L'ENFANT-JESUS","Not found","Not found","03 23 53 12 24","Not found","24 boulevard Jeanne d'Arc02200 SOISSONSFrance","Not found"
"ECOLE PRIVEE NOTRE-DAME","Not found","Not found","05 59 63 50 33","Not found","5 avenue de Bayonne64600 ANGLETFrance","Not found"
"ECOLE PRIVEE NOTRE-DAME","notredame.orange@wanadoo.fr","Not found","04 90 34 10 93","Not found","240 boulevard Edouard Daladier84100 ORANGEFrance","Not found"
"ECOLE PRIVEE NOTRE-DAME-DE-LORETTE","eco29.nd-lorette.pouldreuzic@ecbretagne.org","Not found","02 98 54 41 60","Not found","9 rue de l'Ecole des Filles29710 POULDREUZICFrance","Not found"
"ECOLE PRIVEE SAINT-CHARLES","ecolestcharles.tassin@neuf.fr","Not found","04 78 34 13 43","Not found","59 avenue de la République69160 TASSIN LA DEMI LUNEFrance","Not found"
"ECOLE PRIVEE SAINT-FLORENT","ecolenotredameniort@wanadoo.fr","Not found","05 49 79 24 34","Not found","181 avenue Saint-Jean d'Angely79000 NIORTFrance","Not found"
"ECOLE PRIVEE SAINT-GABRIEL","Not found","Not found","05 65 35 29 26","Not found","199 rue Hautesserre46000 CAHORSFrance","Not found"
"ECOLE PRIVEE SAINT-JACQUES","tjacques@udogecs.fr","Not found","03 22 91 78 57","Not found","8 rue Robert Pierre80000 AMIENSFrance","Not found"
"ECOLE PRIVEE LA PROVIDENCE","propor1@scolalor.net","Not found","03 29 67 40 89","Not found","23 rue Eugène Huraux88330 PORTIEUXFrance","Not found"
"ECOLE ET COLLEGE PRIVES JEANNE D'ARC","ec.jeannedarc.vernon@srec-hn.com","Not found","02 32 64 60 20","Not found","22 avenue Pierre Mendès-France - BP 24327202 VERNON CEDEXFrance","Not found"
"ECOLE ET COLLEGE PRIVES SAINT-JOSEPH","st.joseph.ets.63maringues@wanadoo.fr","Not found","04 73 68 71 28","Not found","7 rue du Baraban63350 MARINGUESFrance","Not found"
"ECOLE PRIVEE   SAINT-BAUDILE LES CARMES","Not found","Not found","04 66 67 85 43","Not found","12 rue Flamande30000 NIMESFrance","Not found"
"ECOLE PRIVEE SAINT-CHARLES- SAINT-MICHEL","saintcharles2@wanadoo.fr","Not found","04 90 82 21 88","Not found","12 bis rue du Roi René84000 AVIGNONFrance","Not found"
"ECOLE PRIVEE SAINT-FERDINAND","chanzy28@wanadoo.fr","Not found","02 37 28 09 49","Not found","13 rue Chanzy28000 CHARTRESFrance","Not found"
"ECOLE PRIVEE SAINT-JACQUES","ec.angers.stjacques@ec49.org","Not found","02 41 48 07 06","Not found","14 impasse Ampère49100 ANGERSFrance","Not found"
"ECOLE ET COLLEGE PRIVES JEANNE D'ARC","j.arc.calais.clg@wanadoo.fr","ecole.j.arc.calais@wanadoo.fr","03 21 36 60 62","Not found","11 rue Champailler62100 CALAISFrance","Not found"
"ECOLE ET COLLEGE PRIVES  DE L' IMMACULEE CONCEPTION","immaculee.angers@wanadoo.fr","ec.angers.immaculee@ec49.org","02 41 47 80 80","Not found","14 boulevard Jacques Portet49000 ANGERSFrance","Not found"
"ECOLE PRIVEE SAINT- JOSEPH","eco22.stjo.duault@eco.ecbretagne.org","Not found","02 96 21 50 45","Not found","Le Bourg22160 DUAULTFrance","Not found"
"ECOLE PRIVEE SAINTE-MARIE","Not found","Not found","03 85 40 10 98","Not found","40 impasse des Sires de Bages71290 CUISERYFrance","Not found"
"INSTITUTION SAINT-JOSEPH  ECOLE ET COLLEGE PRIVES","st.joseph.aniche2@ddec59c.org","st.joseph.aniche@ddec59c.org","03 27 92 52 24","03 27 92 50 94 (école)","1 rue Ducret59580 ANICHEFrance","Not found"
"ECOLE PRIVEE SAINT-JOSEPH - SAINTE-MARIE","f.gilbert.st.jo.capbreton@orange.fr","Not found","05 58 72 70 31","Not found","5 avenue de Verdun40130 CAPBRETONFrance","Not found"
"SAINT-BERNARD- SAINTE-MARIE  ECOLES MATERNELLE ET PRIMAIRE PRIVEES","ecole.mat.sainte.marie@wanadoo.fr","stbernard75.direction@wanadoo.fr","01 42 58 44 45","01 42 54 59 40","50 rue Stephenson75018 PARISFrance","Not found"
"ECOLE NOUVELLE D'ANTONY","contact@ecolenouvelle.fr","ecole.nouvelle@wanadoo.fr","01 43 50 13 83","Not found","4-6 avenue d'Alembert92160 ANTONYFrance","Not found"
"ECOLE PRIVEE SAINTE-ANNE - SAINT-JOACHIM","Not found","Not found","03 20 55 59 98","Not found","198 rue du Bois59800 LILLEFrance","Not found"
"ECOLE PRIVEE SAINTE-GENEVIEVE","ecole.ste.genevieve@free.fr","Not found","03 44 57 73 92","Not found","31 rue Blanche60270 GOUVIEUXFrance","Not found"
